freq	eps_real	eps_img
4.305242e+14	4.046750e+00	
4.312778e+14	4.047039e+00	
4.314209e+14	4.047094e+00	
4.320320e+14	4.047329e+00	
4.324155e+14	4.047476e+00	
4.327859e+14	4.047619e+00	
4.334128e+14	4.047860e+00	
4.335394e+14	4.047908e+00	
4.342935e+14	4.048198e+00	
4.344117e+14	4.048243e+00	
4.350473e+14	4.048488e+00	
4.354131e+14	4.048628e+00	
4.358017e+14	4.048777e+00	
4.364162e+14	4.049013e+00	
4.365556e+14	4.049067e+00	
4.373102e+14	4.049357e+00	
4.374228e+14	4.049400e+00	
4.380633e+14	4.049646e+00	
4.384311e+14	4.049787e+00	
4.388179e+14	4.049936e+00	
4.394420e+14	4.050176e+00	
4.395721e+14	4.050226e+00	
4.403258e+14	4.050515e+00	
4.404544e+14	4.050565e+00	
4.410800e+14	4.050805e+00	
4.414705e+14	4.050955e+00	
4.418338e+14	4.051095e+00	
4.424882e+14	4.051346e+00	
4.425880e+14	4.051384e+00	
4.433416e+14	4.051674e+00	
4.435075e+14	4.051738e+00	
4.440958e+14	4.051964e+00	
4.444506e+14	4.052100e+00	
4.445304e+14	4.052157e+00	
4.448493e+14	4.052386e+00	
4.455549e+14	4.052893e+00	
4.456033e+14	4.052928e+00	
4.463578e+14	4.053470e+00	
4.465820e+14	4.053631e+00	
4.471116e+14	4.054012e+00	
4.476117e+14	4.054371e+00	
4.478659e+14	4.054554e+00	
4.486195e+14	4.055095e+00	
4.486430e+14	4.055112e+00	
4.493735e+14	4.055637e+00	
4.496780e+14	4.055856e+00	
4.501279e+14	4.056179e+00	
4.507145e+14	4.056600e+00	
4.508816e+14	4.056720e+00	
4.516357e+14	4.057262e+00	
4.517536e+14	4.057347e+00	
4.523890e+14	4.057804e+00	
4.527943e+14	4.058095e+00	
4.531437e+14	4.058346e+00	
4.538387e+14	4.058845e+00	
4.538977e+14	4.058888e+00	
4.546510e+14	4.059429e+00	
4.548847e+14	4.059597e+00	
4.554056e+14	4.059971e+00	
4.559332e+14	4.060350e+00	
4.561594e+14	4.060512e+00	
4.569135e+14	4.061054e+00	
4.569844e+14	4.061105e+00	
4.576668e+14	4.061595e+00	
4.580382e+14	4.061862e+00	
4.584214e+14	4.062138e+00	
4.590936e+14	4.062621e+00	
4.591752e+14	4.062679e+00	
4.599292e+14	4.063221e+00	
4.601515e+14	4.063381e+00	
4.606835e+14	4.063763e+00	
4.612121e+14	4.064143e+00	
4.614368e+14	4.064304e+00	
4.621915e+14	4.064846e+00	
4.622754e+14	4.064907e+00	
4.629452e+14	4.065388e+00	
4.633412e+14	4.065672e+00	
4.636991e+14	4.065930e+00	
4.644098e+14	4.066440e+00	
4.644532e+14	4.066471e+00	
4.652075e+14	4.067013e+00	
4.654797e+14	4.067209e+00	
4.659607e+14	4.067554e+00	
4.665535e+14	4.067980e+00	
4.667153e+14	4.068097e+00	
4.674688e+14	4.068638e+00	
4.676288e+14	4.068753e+00	
4.682235e+14	4.069180e+00	
4.687067e+14	4.069527e+00	
4.689773e+14	4.069722e+00	
4.697311e+14	4.070263e+00	
4.697873e+14	4.070304e+00	
4.704849e+14	4.070805e+00	
4.708704e+14	4.071082e+00	
4.712389e+14	4.071347e+00	
4.719563e+14	4.071862e+00	
4.719929e+14	4.071888e+00	
4.727470e+14	4.072430e+00	
4.730436e+14	4.072643e+00	
4.735010e+14	4.072972e+00	
4.741347e+14	4.073427e+00	
4.742552e+14	4.073514e+00	
4.750093e+14	4.074056e+00	
4.752272e+14	4.074212e+00	
4.757622e+14	4.074597e+00	
4.763224e+14	4.074999e+00	
4.765163e+14	4.075138e+00	
4.772704e+14	4.075680e+00	
4.774203e+14	4.075788e+00	
4.780245e+14	4.076222e+00	
4.785208e+14	4.076578e+00	
